model,CALV-ABC,CALV-ABCD,CALV-D,Dex-adroit-door,Dex-adroit-hammer,Dex-adroit-pen,Dex-dexart-bucket,Dex-dexart-faucet,Dex-dexart-laptop,Dex-dexart-toilet,LIBERO-Goal,LIBERO-Long,LIBERO-Object,LIBERO-Spatial,LPlus-Backg,LPlus-Camer,LPlus-Langu,LPlus-Layou,LPlus-Light,LPlus-Noise,LPlus-Robot,MW-Easy,MW-Hard,MW-Medium,MW-Very-Hard,RTwin-Easy,RTwin-Hard,RoboCasa,RoboChall
flowpolicy,,,,0.5800,1.0000,0.5300,0.2800,0.3800,0.8000,0.7000,,,,,,,,,,,,,,,,,,,
focusvla,,,,,,,,,,,0.9880,0.9620,1.0000,0.9960,,,,,,,,,,,,,,,
fpc-vla,,,,,,,,,,,0.9200,0.8220,0.8700,0.8620,,,,,,,,,,,,,,,
freqpolicy,,,,0.6500,1.0000,0.5900,0.2500,0.3000,0.8500,0.7700,,,,,,,,,,,,,,,,,,,
futurevla,,,,,,,,,,,0.9860,0.9600,0.9880,0.9980,0.9780,0.5970,0.8820,0.8260,0.9740,0.7730,0.6600,,,,,,,,
geco,,,,,,,,,,,0.9900,0.8380,0.9580,0.9520,,,,,,,,,,,,,,,
geopredict,,,,,,,,,,,0.9570,0.9400,0.9820,0.9800,,,,,,,,,,,,,,,
gr-1,0.6120,0.8420,,,,,,,,,,,,,,,,,,,,0.7250,0.4510,0.3270,,,,,
gr00t-n1,,,,,,,,,,,0.9300,0.9060,0.9760,0.9440,,,,,,,,,,,,,,,
grape,,,,,,,,,,,0.8310,0.5720,0.9210,0.8850,,,,,,,,,,,,,,,
graspvla,,,,,,,,,,,0.9120,0.8200,0.9410,,,,,,,,,,,,,,,,
gst-vla,,,,,,,,,,,0.9710,0.9260,0.9740,0.9820,,,,,,,,,,,,,,,
hamlet,,,,,,,,,,,0.9920,0.9220,1.0000,0.9900,,,,,,,,,,,,,,,
holobrain-0,,,,,,,,,,,0.9760,0.9520,0.9960,0.9720,0.9030,0.6550,0.7870,0.7950,0.8810,0.6690,0.5820,,,,,0.9190,0.9230,,
hulc,0.1340,0.6120,0.5280,,,,,,,,,,,,,,,,,,,,,,,,,,
inspire,,,,,,,,,,,0.8830,0.7330,0.9430,0.9070,,,,,,,,,,,,,,,
instructvla,,,,,,,,,,,0.9650,0.8980,0.9960,0.9730,,,,,,,,,,,,,,,
internvla-m1,,,,,,,,,,,0.9380,0.9260,0.9900,0.9800,,,,,,,,,,,,,,,
iss policy,,,,0.7200,1.0000,0.5230,,,,,,,,,,,,,,,,,,,,,,,
ivlr,,,,,,,,,,,0.9700,0.9240,0.9580,0.9780,,,,,,,,,,,,,,,
jepa-vla,,,,,,,,,,,0.9560,0.9480,0.9800,0.9720,,,,,,,,,,,,,,,
joyai-ra 0.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.9048,0.8928,0.6320,
last-r1,,,,,,,,,,,1.0000,0.9940,1.0000,0.9980,,,,,,,,,,,,,,,
latentbridge,,,,,,,,,,,0.9733,0.9367,0.9767,0.9900,,,,,,,,,,,,,,0.6316,
libra-vla,,,,,,,,,,,0.9800,0.9280,0.9940,0.9860,0.9340,0.6890,0.9270,0.7750,0.9790,0.8630,0.4880,,,,,,,,
lingbot-va,,,,,,,,,,,0.9720,0.9850,0.9960,0.9850,,,,,,,,,,,,0.9293,0.9155,,
loho-manip,,,,,,,,,,,0.9800,0.9520,0.9860,0.9800,,,,,,,,,,,,,,,
m^2-vla,,,,,,,,,,,0.9720,0.8700,0.9900,0.9780,,,,,,,,,,,,,,,
mambapolicy,,,,0.6830,1.0000,0.4100,0.2700,0.3300,0.7960,0.7630,,,,,,,,,,,,,,,,,,,
manicm,,,,0.6800,1.0000,0.4900,0.3600,0.3400,0.8300,0.7400,,,,,,,,,,,,,,,,,,,
maniflow,,,,0.8030,1.0000,0.5550,0.3530,0.4500,0.9300,0.7930,,,,,,,,,,,,,,,,,,,
mantis,,,,,,,,,,,0.9440,0.9420,0.9920,0.9880,,,,,,,,,,,,,,,
mcil,0.0620,0.0800,0.3640,,,,,,,,,,,,,,,,,,,,,,,,,,
mdt,0.3100,0.9040,0.7440,,,,,,,,0.7350,0.6480,0.8750,0.7850,,,,,,,,,,,,,,,
memoryvla,,,,,,,,,,,0.9640,0.9340,0.9840,0.9840,,,,,,,,,,,,,,,
mergevla,,,,,,,,,,,0.9500,0.9500,0.9860,0.9800,0.9270,0.6240,0.7570,0.7370,0.9270,0.7470,0.4640,,,,,,,,
mmada-vla,0.9560,,,,,,,,,,0.9800,0.9520,0.9980,0.9880,,,,,,,,,,,,,,,
mode,0.8020,0.8780,,,,,,,,,,0.9400,,,,,,,,,,,,,,,,,
molmoact,,,,,,,,,,,0.8760,0.7720,0.9540,0.8700,,,,,,,,,,,,,,,
molmoact2,,,,,,,,,,,0.9850,0.9540,0.9980,0.9880,,,,,,,,,,,,,,,
mt-act,,0.5600,0.5960,,,,,,,,,0.4100,,,,,,,,,,,,,,,,,
nora,,,,,,,,,,,0.8940,0.7460,0.9540,0.9220,0.5860,0.0220,0.6510,0.6210,0.4570,0.1280,0.3700,,,,,,,,
nora-1.5,,,,,,,,,,,0.9540,0.9050,0.9640,0.9800,,,,,,,,,,,,,,,
octo,,,,,,,,,,,0.8460,0.5110,0.8570,0.7890,,,,,,,,,,,,,,,
omnivla-rl,,,,,,,,,,,0.9850,0.9350,0.9920,0.9920,,,,,,,,,,,,,,,
openvla,,,,,,,,,,,0.7920,0.5370,0.8840,0.8470,0.3480,0.0080,0.2300,0.2850,0.0810,0.1520,0.0350,,,,,,,,
openvla-oft,,,,,,,,,,,0.9790,0.9450,0.9840,0.9760,0.9360,0.5640,0.8100,0.7420,0.9270,0.7860,0.3870,,,,,,,,0.0500
otter,,,,,,,,,,,0.8200,,0.8900,0.8400,,,,,,,,,,,,,,,
pd-vla,,0.7100,,,,,,,,,0.9490,0.9170,0.9670,0.9550,,,,,,,,,,,,,,,
